,sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight
297,I,0.28,0.21,0.085,0.1065,0.039,0.0295,
298,M,0.49,0.395,0.14,0.5489999999999999,0.2215,0.1275,0.15
299,M,0.37,0.28,0.105,0.23399999999999999,0.0905,0.0585,0.075
300,F,0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1
301,F,0.54,0.435,0.175,0.892,0.322,0.174,0.335
302,M,0.37,0.28,0.1,0.252,0.1065,0.0595,0.07400000000000001
303,M,0.36,0.27,0.1,0.217,0.0885,0.0495,0.0715
304,F,0.47,0.36,0.13,0.47200000000000003,0.182,0.114,0.15
305,I,0.2,0.145,0.06,0.037000000000000005,0.0125,0.0095,0.011000000000000001
306,I,0.165,0.12,0.03,0.0215,0.006999999999999999,0.005,0.005
307,M,0.645,0.515,0.24,1.5415,0.47100000000000003,0.369,0.535
308,M,0.55,0.41,0.125,0.7605,0.2505,0.1635,0.195
309,M,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275
310,F,0.63,0.485,0.19,1.2435,0.4635,0.3055,0.39
311,M,0.56,0.44,0.14,0.971,0.44299999999999995,0.2045,0.265
312,M,0.595,0.455,0.195,1.3305,0.4595,0.3235,0.345
313,F,0.62,0.47,0.2,1.2255,0.381,0.27,0.435
314,M,0.63,0.485,0.175,1.3,0.4335,0.2945,0.46
315,I,0.45,0.355,0.11,0.4585,0.19399999999999998,0.067,0.14
316,F,0.635,0.535,0.19,1.242,0.5760000000000001,0.2475,0.39
317,M,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12
318,F,0.58,0.455,0.155,0.8365,0.315,0.1385,0.32
319,I,0.33,0.255,0.095,0.172,0.066,0.0255,0.06
320,I,0.265,0.21,0.06,0.0965,0.0425,0.022000000000000002,0.03
321,I,0.19,0.145,0.04,0.038,0.0165,0.0065,0.015
322,M,0.385,0.31,0.1,0.2845,0.1065,0.075,0.1
323,I,0.265,0.205,0.07,0.1055,0.039,0.040999999999999995,0.035
324,M,0.335,0.265,0.105,0.222,0.0935,0.055999999999999994,0.075
325,I,0.355,0.275,0.09,0.251,0.09699999999999999,0.053,0.08
326,I,0.32,0.255,0.1,0.1755,0.073,0.0415,0.065
327,M,0.51,0.4,0.13,0.6435,0.27,0.1665,0.205
328,M,0.36,0.295,0.105,0.24100000000000002,0.0865,0.053,0.095
329,I,0.36,0.28,0.09,0.2255,0.0885,0.04,0.09
330,M,0.5,0.38,0.155,0.5955,0.2135,0.161,0.2
331,F,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095
332,I,0.3,0.22,0.08,0.121,0.0475,0.042,0.035
333,I,0.235,0.175,0.04,0.0705,0.0335,0.015,0.02
334,F,0.74,0.6,0.195,1.974,0.598,0.4085,0.71
335,M,0.62,0.465,0.19,1.3415,0.5705,0.3175,0.355
336,M,0.6,0.475,0.19,1.0875,0.40299999999999997,0.2655,0.325
337,M,0.59,0.45,0.185,1.2830000000000001,0.473,0.276,0.425
338,M,0.62,0.475,0.185,1.325,0.6045,0.325,0.33
339,F,0.565,0.45,0.195,1.0035,0.406,0.2505,0.285
340,M,0.575,0.455,0.145,1.165,0.581,0.2275,0.3
341,F,0.62,0.51,0.205,1.3475,0.4775,0.2565,0.48
342,M,0.62,0.465,0.185,1.274,0.579,0.3065,0.32
343,F,0.505,0.375,0.18,0.568,0.2325,0.1495,0.17
344,F,0.46,0.425,0.155,0.746,0.3005,0.152,0.24
345,M,0.49,0.39,0.14,0.7070000000000001,0.2795,0.2185,0.18
346,F,0.525,0.42,0.16,0.7559999999999999,0.2745,0.17300000000000001,0.275
347,I,0.34,0.26,0.08,0.2,0.08,0.0555,0.055
348,I,0.375,0.305,0.115,0.2715,0.092,0.07400000000000001,0.09
349,M,0.61,0.48,0.15,1.2,0.56,0.2455,0.28
350,F,0.61,0.495,0.185,1.153,0.536,0.2905,0.245
351,F,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27
352,M,0.57,0.46,0.14,0.9535,0.4465,0.2065,0.245
353,M,0.58,0.455,0.17,0.93,0.408,0.259,0.22
354,M,0.635,0.515,0.17,1.275,0.509,0.28600000000000003,0.34
355,M,0.7,0.58,0.205,2.13,0.7415,0.49,0.58
356,M,0.675,0.525,0.185,1.587,0.6935,0.336,0.395
357,F,0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395
358,M,0.745,0.585,0.215,2.499,0.9265,0.47200000000000003,0.7
359,F,0.685,0.545,0.18,1.768,0.7495,0.392,0.485
360,,0.605,0.49,0.18,1.227,0.48,0.287,0.35
361,F,0.59,0.465,0.15,0.997,0.392,0.24600000000000002,0.34
362,F,0.65,0.525,0.175,1.4225,0.61,0.2995,0.445
363,F,0.6,0.48,0.15,1.0290000000000001,0.4085,0.2705,0.295
364,F,0.62,0.5,0.175,1.186,0.4985,0.3015,0.35
365,M,0.63,0.515,0.16,1.016,0.4215,0.244,0.355
366,M,0.58,0.465,0.145,0.887,0.4405,0.1655,0.265
367,F,0.58,0.455,0.12,1.0735,0.479,0.2735,0.265
368,M,0.63,0.49,0.18,1.13,0.45799999999999996,0.2765,0.315
369,F,0.69,0.56,0.215,1.719,0.68,0.299,0.47
370,F,0.65,0.545,0.165,1.5659999999999998,0.6645,0.3455,0.415
371,F,0.66,0.565,0.195,1.7605,0.6920000000000001,0.3265,0.5
372,F,0.68,0.58,0.2,1.787,0.585,0.45299999999999996,0.6
373,F,0.7,0.575,0.17,1.31,0.5095,0.314,0.42
374,M,0.685,0.52,0.15,1.3430000000000002,0.4635,0.292,0.4
375,F,0.675,0.545,0.195,1.7345,0.6845,0.3695,0.605
376,M,0.63,0.49,0.19,1.1775,0.4935,0.3365,0.285
377,F,0.585,0.45,0.16,1.077,0.4995,0.2875,0.25
378,M,0.565,0.465,0.175,0.995,0.3895,0.183,0.37
379,F,0.61,0.495,0.185,1.1085,0.3705,0.3135,0.33
380,M,0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385
381,M,0.535,0.42,0.145,0.7909999999999999,0.33,0.18899999999999997,0.25
382,M,0.485,0.4,0.135,0.6629999999999999,0.313,0.13699999999999998,0.2
383,M,0.47,0.375,0.12,0.5565,0.226,0.122,0.195
384,M,0.545,0.425,0.135,0.8445,0.373,0.21,0.235
385,F,0.455,0.37,0.105,0.4925,0.21600000000000003,0.1245,0.135
386,M,0.54,0.42,0.155,0.7385,0.3515,0.152,0.215
387,M,0.46,0.38,0.135,0.48200000000000004,0.207,0.1225,0.145
388,M,0.49,0.42,0.125,0.609,0.239,0.1435,0.22
389,I,0.465,0.375,0.12,0.47100000000000003,0.222,0.11900000000000001,0.14
390,I,0.415,0.325,0.1,0.3215,0.1535,0.0595,0.105
391,M,0.475,0.375,0.125,0.593,0.27699999999999997,0.115,0.18
392,F,0.47,0.375,0.125,0.5615,0.252,0.13699999999999998,0.18
393,I,0.365,0.295,0.095,0.25,0.1075,0.0545,0.08
394,I,0.345,0.275,0.095,0.1995,0.0755,0.0535,0.07
395,I,0.39,0.31,0.1,0.302,0.11599999999999999,0.064,0.115
